node	label
689	Fast Food
690	Sushi Bars
691	Sushi Bars
692	Fast Food
693	Sushi Bars
694	American (New)
695	American (New)
696	Sushi Bars
697	Fast Food
698	Sushi Bars
699	Sushi Bars
700	Sushi Bars
701	Sushi Bars
702	Sushi Bars
703	Sushi Bars
704	American (New)
705	Fast Food
706	Sushi Bars
707	Sushi Bars
708	Fast Food
709	Fast Food
710	Sushi Bars
711	American (New)
712	Sushi Bars
713	Sushi Bars
714	Sushi Bars
715	Sushi Bars
716	Fast Food
717	Sushi Bars
718	American (New)
719	Sushi Bars
720	American (New)
721	American (New)
722	Sushi Bars
723	American (New)
724	American (New)
725	American (New)
726	Fast Food
727	American (New)
728	American (New)
729	Sushi Bars
730	American (New)
731	American (New)
732	American (New)
733	Fast Food
734	Sushi Bars
735	Fast Food
736	American (New)
737	Sushi Bars
738	Sushi Bars
739	Sushi Bars
740	American (New)
741	Sushi Bars
742	American (New)
743	Fast Food
744	American (New)
745	American (New)
746	Fast Food
747	Fast Food
748	Sushi Bars
749	Fast Food
750	American (New)
751	American (New)
752	American (New)
753	American (New)
754	Sushi Bars
755	Sushi Bars
756	Fast Food
757	Sushi Bars
758	American (New)
759	American (New)
760	Sushi Bars
761	Sushi Bars
762	American (New)
763	American (New)
764	American (New)
765	American (New)
766	Sushi Bars
767	Sushi Bars
768	American (New)
769	Sushi Bars
770	American (New)
771	Sushi Bars
772	Sushi Bars
773	American (New)
774	Sushi Bars
775	Sushi Bars
776	American (New)
777	American (New)
778	Sushi Bars
779	American (New)
780	Sushi Bars
781	Fast Food
782	American (New)
783	Sushi Bars
784	Sushi Bars
785	Sushi Bars
786	American (New)
787	Fast Food
788	Fast Food
789	American (New)
790	American (New)
791	Sushi Bars
792	Fast Food
793	American (New)
794	Sushi Bars
795	American (New)
796	American (New)
797	Fast Food
798	Sushi Bars
799	American (New)
800	Sushi Bars
801	Fast Food
802	American (New)
803	Sushi Bars
804	Fast Food
805	Sushi Bars
806	American (New)
807	American (New)
808	American (New)
809	Fast Food
810	American (New)
811	American (New)
812	Sushi Bars
813	Sushi Bars
814	Fast Food
815	Sushi Bars
816	American (New)
817	Sushi Bars
818	Sushi Bars
819	Sushi Bars
820	Sushi Bars
821	Fast Food
822	Sushi Bars
823	Fast Food
824	Fast Food
825	Sushi Bars
826	Fast Food
827	American (New)
828	American (New)
829	Sushi Bars
830	Fast Food
831	Fast Food
832	Sushi Bars
833	American (New)
834	American (New)
835	American (New)
836	Fast Food
837	Sushi Bars
838	Fast Food
839	American (New)
840	American (New)
841	Fast Food
842	American (New)
843	Sushi Bars
844	Sushi Bars
845	Sushi Bars
846	Fast Food
847	Sushi Bars
848	Sushi Bars
849	Fast Food
850	Sushi Bars
851	Sushi Bars
852	Fast Food
853	Fast Food
854	Sushi Bars
855	American (New)
856	Sushi Bars
857	Sushi Bars
858	Fast Food
859	Sushi Bars
860	Fast Food
861	Sushi Bars
862	Sushi Bars
863	American (New)
864	Sushi Bars
865	American (New)
866	American (New)
867	Sushi Bars
868	Sushi Bars
869	Fast Food
870	Fast Food
871	Sushi Bars
872	Fast Food
873	Fast Food
874	American (New)
875	American (New)
876	American (New)
877	Sushi Bars
878	Sushi Bars
879	Fast Food
880	American (New)
881	American (New)
882	American (New)
883	American (New)
884	American (New)
885	Sushi Bars
886	Fast Food
887	Sushi Bars
888	American (New)
889	Sushi Bars
890	American (New)
891	Fast Food
892	Fast Food
893	Sushi Bars
894	Sushi Bars
895	Sushi Bars
896	Sushi Bars
897	American (New)
898	American (New)
899	Fast Food
900	American (New)
901	Sushi Bars
902	Fast Food
903	Sushi Bars
904	Sushi Bars
905	American (New)
906	Fast Food
907	Sushi Bars
908	Fast Food
909	American (New)
910	American (New)
911	Fast Food
912	Fast Food
913	Sushi Bars
914	Sushi Bars
915	Sushi Bars
916	Sushi Bars
917	Sushi Bars
918	Sushi Bars
919	Sushi Bars
920	Sushi Bars
921	Sushi Bars
922	Sushi Bars
923	Fast Food
924	Sushi Bars
925	Fast Food
926	American (New)
927	Sushi Bars
928	Sushi Bars
929	Sushi Bars
930	Sushi Bars
931	American (New)
932	Sushi Bars
933	Fast Food
934	Sushi Bars
935	Fast Food
936	Sushi Bars
937	Sushi Bars
938	American (New)
939	Sushi Bars
940	Sushi Bars
941	American (New)
942	American (New)
943	American (New)
944	American (New)
945	Sushi Bars
946	Fast Food
947	Sushi Bars
948	Fast Food
949	American (New)
950	Fast Food
951	Fast Food
952	Sushi Bars
953	Sushi Bars
954	Fast Food
955	American (New)
956	Fast Food
957	American (New)
958	American (New)
959	Fast Food
960	Sushi Bars
961	American (New)
962	Sushi Bars
963	American (New)
964	Fast Food
965	American (New)
966	Sushi Bars
967	Sushi Bars
968	Sushi Bars
969	Sushi Bars
970	Sushi Bars
971	Fast Food
972	American (New)
973	Sushi Bars
974	American (New)
975	Fast Food
976	Sushi Bars
977	Sushi Bars
978	American (New)
979	American (New)
980	American (New)
981	Fast Food
982	Sushi Bars
983	Sushi Bars
984	Fast Food
985	Sushi Bars
986	Fast Food
987	Sushi Bars
988	American (New)
989	Fast Food
990	Sushi Bars
991	American (New)
992	Sushi Bars
993	Fast Food
994	Fast Food
995	Sushi Bars
996	Sushi Bars
997	Fast Food
998	Sushi Bars
999	American (New)
1000	American (New)
1001	Fast Food
1002	American (New)
1003	American (New)
1004	American (New)
1005	Fast Food
1006	Fast Food
1007	Sushi Bars
1008	American (New)
1009	Sushi Bars
1010	Fast Food
1011	Fast Food
1012	Sushi Bars
1013	American (New)
1014	Sushi Bars
1015	Fast Food
1016	Sushi Bars
1017	American (New)
1018	Fast Food
1019	American (New)
1020	Sushi Bars
1021	Fast Food
1022	American (New)
1023	Fast Food
1024	American (New)
1025	Sushi Bars
1026	Fast Food
1027	American (New)
1028	Sushi Bars
1029	Fast Food
1030	American (New)
1031	Fast Food
1032	Fast Food
1033	Sushi Bars
1034	American (New)
1035	Fast Food
1036	American (New)
1037	American (New)
1038	Fast Food
1039	Fast Food
1040	Sushi Bars
1041	Fast Food
1042	American (New)
1043	American (New)
1044	Fast Food
1045	Fast Food
1046	Sushi Bars
1047	Fast Food
1048	Fast Food
1049	Fast Food
1050	Sushi Bars
1051	Fast Food
1052	American (New)
1053	Sushi Bars
1054	Sushi Bars
1055	American (New)
1056	American (New)
1057	American (New)
1058	Sushi Bars
1059	Fast Food
1060	American (New)
1061	Fast Food
1062	Sushi Bars
1063	Sushi Bars
1064	Sushi Bars
1065	Fast Food
1066	American (New)
1067	American (New)
1068	Fast Food
1069	Fast Food
1070	American (New)
1071	American (New)
1072	American (New)
1073	Fast Food
1074	American (New)
1075	Sushi Bars
1076	American (New)
1077	Sushi Bars
1078	Sushi Bars
1079	American (New)
1080	American (New)
1081	Sushi Bars
1082	Fast Food
1083	Fast Food
1084	Fast Food
1085	Sushi Bars
1086	Fast Food
1087	Sushi Bars
1088	Sushi Bars
1089	Fast Food
1090	Sushi Bars
1091	Sushi Bars
1092	Fast Food
1093	Sushi Bars
1094	Fast Food
1095	Sushi Bars
1096	Fast Food
1097	Fast Food
1098	American (New)
1099	Sushi Bars
1100	Sushi Bars
1101	American (New)
1102	Fast Food
1103	American (New)
1104	American (New)
1105	American (New)
1106	Fast Food
1107	Fast Food
1108	American (New)
1109	American (New)
1110	Fast Food
1111	American (New)
1112	Sushi Bars
1113	Sushi Bars
1114	Fast Food
1115	Sushi Bars
1116	Fast Food
1117	American (New)
1118	Fast Food
1119	Sushi Bars
1120	American (New)
1121	Fast Food
1122	Fast Food
1123	Fast Food
1124	Sushi Bars
1125	Fast Food
1126	Sushi Bars
1127	American (New)
1128	Fast Food
1129	Fast Food
1130	Sushi Bars
1131	Sushi Bars
1132	Sushi Bars
1133	American (New)
1134	Sushi Bars
1135	Sushi Bars
1136	American (New)
1137	American (New)
1138	Sushi Bars
1139	Fast Food
1140	American (New)
1141	Fast Food
1142	Sushi Bars
1143	Sushi Bars
1144	American (New)
1145	Sushi Bars
1146	Fast Food
1147	American (New)
1148	Sushi Bars
1149	American (New)
1150	American (New)
1151	Sushi Bars
1152	American (New)
1153	American (New)
1154	American (New)
1155	American (New)
1156	American (New)
1157	Sushi Bars
1158	American (New)
1159	Fast Food
1160	Fast Food
1161	Fast Food
1162	American (New)
1163	Sushi Bars
1164	American (New)
1165	Sushi Bars
1166	Sushi Bars
1167	Fast Food
1168	Sushi Bars
1169	Sushi Bars
1170	Fast Food
1171	American (New)
1172	Sushi Bars
1173	American (New)
1174	Fast Food
1175	American (New)
1176	Sushi Bars
1177	American (New)
1178	Fast Food
1179	American (New)
1180	Fast Food
1181	Fast Food
1182	American (New)
1183	American (New)
1184	Sushi Bars
1185	American (New)
1186	American (New)
1187	Sushi Bars
1188	Sushi Bars
1189	Fast Food
1190	Sushi Bars
1191	American (New)
1192	Sushi Bars
1193	Sushi Bars
1194	American (New)
1195	Sushi Bars
1196	American (New)
1197	Fast Food
1198	Sushi Bars
1199	American (New)
1200	Sushi Bars
1201	American (New)
1202	American (New)
1203	Fast Food
1204	Fast Food
1205	American (New)
1206	American (New)
1207	American (New)
1208	American (New)
1209	American (New)
1210	Sushi Bars
1211	Sushi Bars
1212	Sushi Bars
1213	Sushi Bars
1214	Sushi Bars
1215	Sushi Bars
1216	American (New)
1217	American (New)
1218	Sushi Bars
1219	Sushi Bars
1220	Sushi Bars
1221	Sushi Bars
1222	Sushi Bars
1223	American (New)
1224	Fast Food
1225	Fast Food
1226	American (New)
1227	American (New)
1228	Sushi Bars
1229	Sushi Bars
1230	Sushi Bars
1231	American (New)
1232	American (New)
1233	Sushi Bars
1234	Fast Food
1235	American (New)
1236	Fast Food
1237	American (New)
1238	Fast Food
1239	American (New)
1240	Sushi Bars
1241	Fast Food
1242	Sushi Bars
1243	American (New)
1244	Sushi Bars
1245	Fast Food
1246	Fast Food
1247	Sushi Bars
1248	Fast Food
1249	Sushi Bars
1250	Sushi Bars
1251	Sushi Bars
1252	Sushi Bars
1253	American (New)
1254	Fast Food
1255	American (New)
1256	Fast Food
1257	Sushi Bars
1258	American (New)
1259	Fast Food
1260	Fast Food
1261	Fast Food
1262	Sushi Bars
1263	Fast Food
1264	American (New)
1265	Fast Food
1266	American (New)
1267	American (New)
1268	Sushi Bars
1269	Sushi Bars
1270	Sushi Bars
1271	American (New)
1272	American (New)
1273	American (New)
1274	Sushi Bars
1275	Fast Food
1276	American (New)
1277	Sushi Bars
1278	Sushi Bars
1279	American (New)
1280	Sushi Bars
1281	Fast Food
1282	Sushi Bars
1283	Sushi Bars
1284	Fast Food
1285	Fast Food
1286	Fast Food
1287	American (New)
1288	Sushi Bars
1289	American (New)
1290	American (New)
1291	Fast Food
1292	Fast Food
1293	American (New)
1294	American (New)
1295	Sushi Bars
1296	Fast Food
1297	Sushi Bars
1298	Sushi Bars
1299	American (New)
1300	Fast Food
1301	American (New)
1302	American (New)
1303	Sushi Bars
1304	American (New)
1305	Fast Food
1306	American (New)
1307	Sushi Bars
1308	Sushi Bars
1309	Fast Food
1310	Fast Food
1311	Sushi Bars
1312	American (New)
1313	American (New)
1314	Sushi Bars
1315	Sushi Bars
1316	American (New)
1317	Sushi Bars
1318	Fast Food
1319	American (New)
1320	Sushi Bars
1321	American (New)
1322	Sushi Bars
1323	American (New)
1324	Fast Food
1325	Fast Food
1326	Fast Food
1327	Fast Food
1328	American (New)
1329	Sushi Bars
1330	American (New)
1331	Fast Food
1332	Sushi Bars
1333	Fast Food
1334	American (New)
1335	Fast Food
1336	American (New)
1337	Fast Food
1338	American (New)
1339	Fast Food
1340	American (New)
1341	Fast Food
1342	American (New)
1343	Sushi Bars
1344	Sushi Bars
1345	Sushi Bars
1346	Sushi Bars
1347	American (New)
1348	Fast Food
1349	American (New)
1350	Fast Food
1351	Sushi Bars
1352	American (New)
1353	Sushi Bars
1354	American (New)
1355	Sushi Bars
1356	Sushi Bars
1357	Sushi Bars
1358	American (New)
1359	Sushi Bars
1360	Sushi Bars
1361	Fast Food
1362	Sushi Bars
1363	American (New)
1364	Sushi Bars
1365	American (New)
1366	Fast Food
1367	Sushi Bars
1368	Sushi Bars
1369	Fast Food
1370	Fast Food
1371	American (New)
1372	Sushi Bars
1373	Sushi Bars
1374	American (New)
1375	Fast Food
1376	Fast Food
1377	Fast Food
1378	Fast Food
1379	Sushi Bars
1380	Sushi Bars
1381	American (New)
1382	American (New)
1383	American (New)
1384	American (New)
1385	Sushi Bars
1386	Fast Food
1387	American (New)
1388	Sushi Bars
1389	Fast Food
1390	Sushi Bars
1391	Sushi Bars
1392	American (New)
1393	American (New)
1394	Fast Food
1395	Sushi Bars
1396	American (New)
1397	Fast Food
1398	Fast Food
1399	Fast Food
1400	Fast Food
1401	Sushi Bars
1402	American (New)
1403	Fast Food
1404	Fast Food
1405	Sushi Bars
1406	Sushi Bars
1407	Sushi Bars
1408	Sushi Bars
1409	Fast Food
1410	Sushi Bars
1411	American (New)
1412	American (New)
1413	American (New)
1414	Sushi Bars
1415	American (New)
1416	Fast Food
1417	Sushi Bars
1418	Sushi Bars
1419	Sushi Bars
1420	Fast Food
1421	Fast Food
1422	American (New)
1423	American (New)
1424	American (New)
1425	Fast Food
1426	American (New)
1427	Sushi Bars
1428	Sushi Bars
1429	Sushi Bars
1430	American (New)
1431	Sushi Bars
1432	American (New)
1433	Sushi Bars
1434	Fast Food
1435	Fast Food
1436	Fast Food
1437	Sushi Bars
1438	Fast Food
1439	Sushi Bars
1440	American (New)
1441	American (New)
1442	Sushi Bars
1443	Sushi Bars
1444	American (New)
1445	Sushi Bars
1446	Sushi Bars
1447	Fast Food
1448	Fast Food
1449	Fast Food
1450	American (New)
1451	Fast Food
1452	Sushi Bars
1453	Sushi Bars
1454	American (New)
1455	American (New)
1456	American (New)
1457	American (New)
1458	American (New)
1459	Fast Food
1460	American (New)
1461	Fast Food
1462	Sushi Bars
1463	Sushi Bars
1464	Sushi Bars
1465	Sushi Bars
1466	Sushi Bars
1467	Sushi Bars
1468	American (New)
1469	American (New)
1470	Fast Food
1471	Fast Food
1472	American (New)
1473	American (New)
1474	Sushi Bars
1475	American (New)
1476	Fast Food
1477	American (New)
1478	American (New)
1479	Sushi Bars
1480	Sushi Bars
1481	American (New)
1482	Fast Food
1483	Sushi Bars
1484	Sushi Bars
1485	Fast Food
1486	Fast Food
1487	American (New)
1488	Sushi Bars
1489	Sushi Bars
1490	American (New)
1491	American (New)
1492	Sushi Bars
1493	American (New)
1494	Sushi Bars
1495	Fast Food
1496	Fast Food
1497	Sushi Bars
1498	American (New)
1499	Fast Food
1500	Fast Food
1501	Sushi Bars
1502	American (New)
1503	Fast Food
1504	American (New)
1505	Sushi Bars
1506	American (New)
1507	Fast Food
1508	Sushi Bars
1509	Sushi Bars
1510	Fast Food
1511	Sushi Bars
1512	Fast Food
1513	American (New)
1514	Fast Food
1515	Fast Food
1516	Fast Food
1517	Sushi Bars
1518	American (New)
1519	Fast Food
1520	Sushi Bars
1521	Sushi Bars
1522	American (New)
1523	Fast Food
1524	Sushi Bars
1525	Fast Food
1526	Sushi Bars
1527	American (New)
1528	Sushi Bars
1529	American (New)
1530	American (New)
1531	Sushi Bars
1532	Fast Food
1533	American (New)
1534	Fast Food
1535	Fast Food
1536	Sushi Bars
1537	American (New)
1538	Sushi Bars
1539	Fast Food
1540	Sushi Bars
1541	Sushi Bars
1542	American (New)
1543	Fast Food
1544	American (New)
1545	Sushi Bars
1546	American (New)
1547	American (New)
1548	Fast Food
1549	Fast Food
1550	Sushi Bars
1551	American (New)
1552	Fast Food
1553	American (New)
1554	Sushi Bars
1555	Fast Food
1556	American (New)
1557	Sushi Bars
1558	American (New)
1559	American (New)
1560	American (New)
1561	Sushi Bars
1562	Sushi Bars
1563	Sushi Bars
1564	American (New)
1565	American (New)
1566	Sushi Bars
1567	Fast Food
1568	Sushi Bars
1569	American (New)
1570	American (New)
1571	American (New)
1572	Sushi Bars
1573	American (New)
1574	Sushi Bars
1575	Fast Food
1576	Fast Food
1577	American (New)
1578	Fast Food
1579	American (New)
1580	Sushi Bars
1581	American (New)
1582	Sushi Bars
1583	American (New)
1584	American (New)
1585	American (New)
1586	American (New)
1587	American (New)
1588	Sushi Bars
1589	American (New)
1590	Sushi Bars
1591	Sushi Bars
1592	American (New)
